s dummy RR0 RR2 RR4 RR6 RR8
0.26212 0 0.881446 -2.15524 2.75905 -5.60363 5.21154
0.262724 0 0.810251 -1.8447 1.94869 -4.79621 3.68087
0.26333 0 2.66414 6.41239 15.556 16.6722 29.3836
0.263937 0 0.835826 3.4971 3.8198 9.09245 7.21518
0.264545 0 2.60117 6.28015 0.234297 16.3284 0.44256
0.265155 0 4.59885 -3.18397 -9.83146 -8.27833 -18.5705
0.265767 0 6.8134 -15.7251 17.2834 -40.8851 32.6465
0.266379 0 0 0 0 0 0
0.266993 0 0 0 0 0 0
0.267609 0 0.81191 3.27211 3.11714 8.50748 5.88793
0.268226 0 3.02449 -5.24518 1.35086 -13.6375 2.55163
0.268844 0 1.08977 1.71446 -3.64059 4.45761 -6.87667
0.269464 0 1.70849 2.31685 1.70237 6.0238 3.21559
0.270085 0 2.11103 -4.31106 3.30179 -11.2088 6.23672
0.270707 0 5.2384 1.32555 -13.179 3.44643 -24.8937
0.271332 0 1.91245 -1.80749 -3.57177 -4.69948 -6.74667
0.271957 0 1.72598 2.3195 8.08619 6.0307 15.2739
0.272584 0 2.8336 -0.39492 -2.60703 -1.02679 -4.92439
0.273212 0 4.1609 11.012 6.64111 28.6312 12.5443
0.273842 0 0 0 0 0 0
0.274473 0 4.17778 -5.9283 -2.80532 -15.4136 -5.29893
0.275106 0 1.93036 5.36863 1.97021 13.9584 3.72151
0.27574 0 1.96257 7.80828 7.78402 20.3015 14.7031
0.276376 0 1.98914 -3.54952 1.02129 -9.22875 1.92911
0.277013 0 0.925645 -2.13143 2.32722 -5.54172 4.39586
0.277652 0 4.34415 6.06768 -1.85013 15.776 -3.49469
0.278292 0 0 0 0 0 0
0.278933 0 1.46583 -2.00308 -1.21124 -5.20801 -2.2879
0.279576 0 2.62443 7.77495 1.23261 20.2149 2.32827
0.280221 0 1.10138 -0.244023 -3.57295 -0.63446 -6.74891
0.280867 0 1.08875 -2.72189 3.67455 -7.07691 6.94081
0.281514 0 6.12961 -0.844847 3.60217 -2.1966 6.8041
0.282163 0 0.909606 -1.58652 0.339913 -4.12494 0.642058
0.282814 0 5.95023 -0.989928 -19.3788 -2.57381 -36.6044
0.283466 0 0.960605 -2.0001 1.55312 -5.20027 2.93366
0.284119 0 0 0 0 0 0
0.284774 0 2.35475 -1.67431 -0.231164 -4.35322 -0.436643
0.28543 0 0 0 0 0 0
0.286088 0 5.41062 -13.3185 17.3303 -34.6282 32.7351
